Nifty 50,Nifty 100,Nifty 500,Nifty 200,Nifty Bank,Nifty IT,Nifty Pharma,Nifty Auto,Nifty Financial Services,Nifty FMCG,Nifty Healthcare,Nifty Media,Nifty Metal,Nifty Private Bank,Nifty PSU Bank,Nifty Oil and Gas ,Nifty MidCap
,,SUNDRMFAST,,,,,,,,,,,,,,
,,SUNTECK,,,,,,,,,,,,,,
,,SUPREMEIND,,,,,,,,,,,,,,
,,SUVENPHAR,,,,,,,,,,,,,,
,,SUZLON,,,,,,,,,,,,,,
,,SWANENERGY,,,,,,,,,,,,,,
,,SYNGENE,,,,,,,,,,,,,,
,,SYRMA,,,,,,,,,,,,,,
,,TV18BRDCST,,,,,,,,,,,,,,
,,TVSMOTOR,,,,,,,,,,,,,,
,,TVSSCS,,,,,,,,,,,,,,
,,TMB,,,,,,,,,,,,,,
,,TANLA,,,,,,,,,,,,,,
,,TATACHEM,,,,,,,,,,,,,,
,,TATACOMM,,,,,,,,,,,,,,
,,TCS,,,,,,,,,,,,,,
,,TATACONSUM,,,,,,,,,,,,,,
,,TATAELXSI,,,,,,,,,,,,,,
,,TATAINVEST,,,,,,,,,,,,,,
,,TATAMTRDVR,,,,,,,,,,,,,,
,,TATAMOTORS,,,,,,,,,,,,,,
,,TATAPOWER,,,,,,,,,,,,,,
,,TATASTEEL,,,,,,,,,,,,,,
,,TATATECH,,,,,,,,,,,,,,
,,TTML,,,,,,,,,,,,,,
,,TECHM,,,,,,,,,,,,,,
,,TEJASNET,,,,,,,,,,,,,,
,,NIACL,,,,,,,,,,,,,,
,,RAMCOCEM,,,,,,,,,,,,,,
,,THERMAX,,,,,,,,,,,,,,
,,TIMKEN,,,,,,,,,,,,,,
,,TITAGARH,,,,,,,,,,,,,,
,,TITAN,,,,,,,,,,,,,,
,,TORNTPHARM,,,,,,,,,,,,,,
,,TORNTPOWER,,,,,,,,,,,,,,
,,TRENT,,,,,,,,,,,,,,
,,TRIDENT,,,,,,,,,,,,,,
,,TRIVENI,,,,,,,,,,,,,,
,,TRITURBINE,,,,,,,,,,,,,,
,,TIINDIA,,,,,,,,,,,,,,
,,UCOBANK,,,,,,,,,,,,,,
,,UNOMINDA,,,,,,,,,,,,,,
,,UPL,,,,,,,,,,,,,,
,,UTIAMC,,,,,,,,,,,,,,
,,UJJIVANSFB,,,,,,,,,,,,,,
,,ULTRACEMCO,,,,,,,,,,,,,,
,,UNIONBANK,,,,,,,,,,,,,,
,,UBL,,,,,,,,,,,,,,
,,MCDOWELL-N,,,,,,,,,,,,,,
,,USHAMART,,,,,,,,,,,,,,
,,VGUARD,,,,,,,,,,,,,,
,,VIPIND,,,,,,,,,,,,,,
,,VAIBHAVGBL,,,,,,,,,,,,,,
,,VTL,,,,,,,,,,,,,,
,,VARROC,,,,,,,,,,,,,,
,,VBL,,,,,,,,,,,,,,
,,MANYAVAR,,,,,,,,,,,,,,
,,VEDL,,,,,,,,,,,,,,
,,VIJAYA,,,,,,,,,,,,,,
,,IDEA,,,,,,,,,,,,,,
,,VOLTAS,,,,,,,,,,,,,,
,,WELCORP,,,,,,,,,,,,,,
,,WELSPUNLIV,,,,,,,,,,,,,,
,,WESTLIFE,,,,,,,,,,,,,,
,,WHIRLPOOL,,,,,,,,,,,,,,
,,WIPRO,,,,,,,,,,,,,,
,,YESBANK,,,,,,,,,,,,,,
,,ZFCVINDIA,,,,,,,,,,,,,,
,,ZEEL,,,,,,,,,,,,,,
,,ZENSARTECH,,,,,,,,,,,,,,
,,ZOMATO,,,,,,,,,,,,,,
,,ZYDUSLIFE,,,,,,,,,,,,,,
,,ECLERX,,,,,,,,,,,,,,
