Nifty 50,Nifty 100,Nifty 500,Nifty 200,Nifty Bank,Nifty IT,Nifty Pharma,Nifty Auto,Nifty Financial Services,Nifty FMCG,Nifty Healthcare,Nifty Media,Nifty Metal,Nifty Private Bank,Nifty PSU Bank,Nifty Oil and Gas ,Nifty MidCap
Eicher Motors ,HCLTECH,ACI,BIOCON,,,,,,,,,,,,,PAGEIND
HCL Tech ,HDFCBANK,ASAHIINDIA,BOSCHLTD,,,,,,,,,,,,,PERSISTENT
SBI ,HEROMOTOCO,ASHOKLEY,BRITANNIA,,,,,,,,,,,,,PETRONET
Bajaj Finance ,HINDALCO,ASIANPAINT,CGPOWER,,,,,,,,,,,,,POLYCAB
TCS ,HINDPETRO,ASTERDM,CANBK,,,,,,,,,,,,,SAIL
Bajaj Auto ,HINDUNILVR,ASTRAZEN,CHOLAFIN,,,,,,,,,,,,,SUZLON
Infosys ,HDFC,ASTRAL,CIPLA,,,,,,,,,,,,,TATACOMM
Axis Bank ,ITC,ATUL,COALINDIA,,,,,,,,,,,,,TIINDIA
Tata Motors ,ICICIBANK,AUROPHARMA,COFORGE,,,,,,,,,,,,,UPL
Larsen ,IDBI,AVANTIFEED,COLPAL,,,,,,,,,,,,,IDEA
Reliance ,IDEA,DMART,CONCOR,,,,,,,,,,,,,YESBANK
,INDHOTEL,AXISBANK,CUMMINSIND,,,,,,,,,,,,,
,INDUSINDBK,BEML,DLF,,,,,,,,,,,,,
,INFY,BLS,DABUR,,,,,,,,,,,,,
,JSWSTEEL,BSE,DALBHARAT,,,,,,,,,,,,,
,JPASSOCIAT,BAJAJ-AUTO,DEEPAKNTR,,,,,,,,,,,,,
,JINDALSTEL,BAJFINANCE,DELHIVERY,,,,,,,,,,,,,
,KOTAKBANK,BAJAJFINSV,DIVISLAB,,,,,,,,,,,,,
,LICHSGFIN,BAJAJHLDNG,DIXON,,,,,,,,,,,,,
,LT,BALAMINES,LALPATHLAB,,,,,,,,,,,,,
,LUPIN,BALKRISIND,DRREDDY,,,,,,,,,,,,,
,M&M,BALRAMCHIN,EICHERMOT,,,,,,,,,,,,,
,MARUTI,BANDHANBNK,ESCORTS,,,,,,,,,,,,,
,MPHASIS,BANKBARODA,NYKAA,,,,,,,,,,,,,
,NTPC,BANKINDIA,FEDERALBNK,,,,,,,,,,,,,
,ONGC,MAHABANK,FACT,,,,,,,,,,,,,
,OFSS,BATAINDIA,FORTIS,,,,,,,,,,,,,
,PETRONET,BAYERCROP,GAIL,,,,,,,,,,,,,
,PFC,BERGEPAINT,GMRINFRA,,,,,,,,,,,,,
,POWERGRID,BDL,GLAND,,,,,,,,,,,,,
,PNB,BEL,GODREJCP,,,,,,,,,,,,,
,RANBAXY,BHARATFORG,GODREJPROP,,,,,,,,,,,,,
,RELCAPITAL,BHEL,GRASIM,,,,,,,,,,,,,
,RCOM,BPCL,GUJGASLTD,,,,,,,,,,,,,
,RELIANCE,BHARTIARTL,HCLTECH,,,,,,,,,,,,,
,RELINFRA,BIKAJI,HDFCAMC,,,,,,,,,,,,,
,RPOWER,BIOCON,HDFCBANK,,,,,,,,,,,,,
,RECLTD,BIRLACORPN,HDFCLIFE,,,,,,,,,,,,,
,SESAGOA,BSOFT,HAVELLS,,,,,,,,,,,,,
,SRTRANSFIN,BLUEDART,HEROMOTOCO,,,,,,,,,,,,,
,SIEMENS,BLUESTARCO,HINDALCO,,,,,,,,,,,,,
,SBIN,BBTC,HAL,,,,,,,,,,,,,
,SAIL,BORORENEW,HINDPETRO,,,,,,,,,,,,,
,SUNPHARMA,BOSCHLTD,HINDUNILVR,,,,,,,,,,,,,
,TATACHEM,BRIGADE,ICICIBANK,,,,,,,,,,,,,
,TCS,BRITANNIA,ICICIGI,,,,,,,,,,,,,
,TATAMOTORS,MAPMYINDIA,ICICIPRULI,,,,,,,,,,,,,
,TATAPOWER,CCL,IDBI,,,,,,,,,,,,,
,TATASTEEL,CESC,IDFCFIRSTB,,,,,,,,,,,,,
,TECHM,CGPOWER,ITC,,,,,,,,,,,,,
,TITAN,CIEINDIA,INDIANB,,,,,,,,,,,,,
,TORNTPOWER,CRISIL,INDHOTEL,,,,,,,,,,,,,
,ULTRACEMCO,CSBBANK,IOC,,,,,,,,,,,,,
,UNIONBANK,CAMPUS,IRCTC,,,,,,,,,,,,,
,UNIPHOS,CANFINHOME,IRFC,,,,,,,,,,,,,
,MCDOWELL-N,CANBK,IGL,,,,,,,,,,,,,
,WIPRO,CAPLIPOINT,INDUSTOWER,,,,,,,,,,,,,
,YESBANK,CGCL,INDUSINDBK,,,,,,,,,,,,,
,ZEEL,CARBORUNIV,NAUKRI,,,,,,,,,,,,,
,GLAXO,CASTROLIND,INFY,,,,,,,,,,,,,
,IDFC,CEATLTD,INDIGO,,,,,,,,,,,,,
,,CELLO,IPCALAB,,,,,,,,,,,,,
,,CENTRALBK,JSWENERGY,,,,,,,,,,,,,
,,CDSL,JSWINFRA,,,,,,,,,,,,,
,,CENTURYPLY,JSWSTEEL,,,,,,,,,,,,,
,,CENTURYTEX,JINDALSTEL,,,,,,,,,,,,,
,,CERA,JIOFIN,,,,,,,,,,,,,
,,CHALET,JUBLFOOD,,,,,,,,,,,,,
,,CHAMBLFERT,KPITTECH,,,,,,,,,,,,,
,,CHEMPLASTS,KALYANKJIL,,,,,,,,,,,,,
,,CHENNPETRO,KOTAKBANK,,,,,,,,,,,,,
,,CHOLAHLDNG,L&TFH,,,,,,,,,,,,,
,,CHOLAFIN,LTTS,,,,,,,,,,,,,
,,CIPLA,LICHSGFIN,,,,,,,,,,,,,
,,CUB,LTIM,,,,,,,,,,,,,
,,CLEAN,LT,,,,,,,,,,,,,
,,COALINDIA,LAURUSLABS,,,,,,,,,,,,,
,,COCHINSHIP,LICI,,,,,,,,,,,,,
,,COFORGE,LUPIN,,,,,,,,,,,,,
,,COLPAL,MRF,,,,,,,,,,,,,
,,CAMS,LODHA,,,,,,,,,,,,,
,,CONCORDBIO,M&MFIN,,,,,,,,,,,,,
,,CONCOR,M&M,,,,,,,,,,,,,
,,COROMANDEL,MANKIND,,,,,,,,,,,,,
,,CRAFTSMAN,MARICO,,,,,,,,,,,,,
